GEOID,latitude,longitude,MetroName_x,2011_Current$_GDP,2012_Current$_GDP,2013_Current$_GDP,2014_Current$_GDP,2015_Current$_GDP,2016_Current$_GDP,2016_Current$_Rank,2011_Real$09_GDP,2012_Real$09_GDP,2013_Real$09_GDP,2014_Real$09_GDP,2015_Real$09_GDP,2016_Real$09_GDP,2012_RealGDP%_Change,2013_RealGDP%_Change,2014_RealGDP%_Change,2015_RealGDP%_Change,2016_RealGDP%_Change,2016Rank,Natural resources and mining,Construction,Durable-goods manufacturing,Nondurable-goods manufacturing,Trade,Transportation and utilities,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,2010_Population_Actual,2010_Population_Estimate,2011_Population_Estimate,2012_Population_Estimate,2013_Population_Estimate,2014_Population_Estimate,2015_Population_Estimate,2016_Population_Estimate,ALand_SQMeters,AWater_SQMeters,ALand_SQMiles,AWater_SQMiles,latitude,longitude                                                                                                 
16180,39.15306,-119.747379,"Carson City, NV","3,023","3,413","3,229","3,333","3,160","3,260",367,"2,943","3,243","3,007","3,033","2,799","2,833",10.2,-7.3,0.9,-7.7,1.2,193,-0.11,0.65,0.29,-0.36,0.18,-0.03,0.06,-0.35,-0.23,0.08,0.28,0.04,0.68,55274,55025,54738,54540,53989,54385,54405,54742,374669606,32587484,144.661,12.582,39.15306,-119.747379
16220,42.973602,-106.76507,"Casper, WY","6,315","6,638","6,755","7,237","6,633","5,859",280,"5,564","5,821","5,816","6,161","5,964","5,271",4.6,-0.1,5.9,-3.2,-11.6,381,-4.42,-0.8,-0.53,0.22,-2.59,-0.84,0.03,-1.29,-0.73,-0.01,-0.24,-0.37,-0.05,75450,75474,76410,78602,81092,81432,82191,81039,13831870242,91060478,5340.515,35.159,42.973602,-106.76507
16300,42.085603,-91.63048,"Cedar Rapids, IA","15,962","16,185","16,395","16,977","17,620","17,577",137,"15,759","15,666","15,582","15,825","16,091","15,839",-0.6,-0.5,1.6,1.7,-1.6,331,0.02,0.11,-0.2,-0.61,0.26,-0.26,-0.06,-1.07,0.18,0.01,-0.05,0.03,0.08,257940,258408,260882,261705,262295,263734,265850,267799,5202686443,29083693,2008.769,11.229,42.085603,-91.63048
16540,39.926685,-77.724497,"Chambersburg-Waynesboro, PA","4,520","4,594","4,948","5,122","5,251","5,310",302,"4,389","4,355","4,596","4,675","4,697","4,686",-0.8,5.6,1.7,0.5,-0.2,281,0.38,0.19,-1.21,-0.14,0.1,0.23,0.1,-0.25,-0.33,0.75,-0.04,0.17,-0.18,149618,149948,151014,151575,152063,152751,153295,153851,2000052119,1544300,772.224,0.596,39.926685,-77.724497
16580,40.234489,-88.298623,"Champaign-Urbana, IL","10,423","10,979","11,096","11,478","11,792","11,992",182,"10,022","10,308","10,233","10,411","10,526","10,580",2.9,-0.7,1.7,1.1,0.5,241,0.91,0.06,0.21,-0.75,-0.07,0.19,-0.04,0.39,-0.03,0.36,-0.09,-0.1,-0.52,231891,232298,233325,234442,235612,236788,237840,238554,4975458579,7928464,1921.035,3.061,40.234489,-88.298623
16620,38.283213,-81.492557,"Charleston, WV","13,981","13,766","13,265","12,610","12,887","12,831",176,"13,159","12,746","12,142","11,347","11,612","11,392",-3.1,-4.7,-6.5,2.3,-1.9,344,-0.6,-0.53,0.26,0.11,-0.11,-0.05,0.07,(D),-0.37,0.16,-0.16,-0.08,-0.04,227078,226896,225811,225796,224687,222797,220375,217916,4520564666,32465412,1745.4,12.535,38.283213,-81.492557
16700,33.005831,-80.006109,"Charleston-North Charleston, SC","30,275","31,556","32,720","34,769","36,914","38,776",73,"29,494","30,116","30,668","31,827","32,962","33,982",2.1,1.8,3.8,3.6,3.1,73,0,0.58,-0.05,-0.19,(D),(D),0.25,0.59,0.93,0.2,0.1,-0.05,-0.07,664607,667501,681318,697123,711449,727027,744603,761155,6703756813,1488520869,2588.335,574.721,33.005831,-80.006109
16740,35.187295,-80.867491,"Charlotte-Concord-Gastonia, NC-SC","125,326","131,934","136,399","143,824","154,874","163,637",21,"122,522","125,472","126,707","130,280","136,196","140,815",2.4,1,2.8,4.5,3.4,58,0.02,0.42,-0.1,-0.04,0.53,0.32,0.48,0.49,0.93,0.11,0.13,0.06,0.05,2217012,2223454,2256476,2294642,2334781,2377378,2424643,2474314,13122824461,290855932,5066.751,112.3,35.187295,-80.867491
16820,37.85459,-78.578282,"Charlottesville, VA","10,439","10,958","11,116","11,806","12,666","12,851",175,"10,176","10,451","10,398","10,793","11,284","11,201",2.7,-0.5,3.8,4.6,-0.7,303,0.03,0.01,-0.12,-0.01,(D),0.01,0.04,-1.34,0.24,0.04,-0.1,0,0.39,218705,219094,221251,222966,224347,226440,228977,231349,5759372808,45545340,2223.706,17.585,37.85459,-78.578282
16860,35.049361,-85.361158,"Chattanooga, TN-GA","21,744","22,883","23,144","23,637","24,825","25,495",100,"21,345","21,896","21,735","21,712","22,152","22,309",2.6,-0.7,-0.1,2,0.7,231,-0.18,0.05,-0.11,-0.37,(D),(D),(D),0.88,-0.01,-0.31,0.1,(D),-0.14,528143,529228,533351,538156,541926,543891,547007,551632,5410466556,126498051,2088.993,48.841,35.049361,-85.361158
16940,41.29283,-104.660395,"Cheyenne, WY","5,280","5,358","5,533","5,485","5,521","5,485",293,"4,801","4,755","4,862","4,735","4,733","4,689",-1,2.3,-2.6,0,-0.9,308,0.13,-0.45,-0.06,0.6,0.34,-0.7,-0.04,-0.73,0.19,0.15,-0.03,-0.03,-0.3,91738,92272,92637,94785,95929,96264,97183,98136,6956499752,4269804,2685.92,1.649,41.29283,-104.660395
16980,41.823521,-87.828297,"Chicago-Naperville-Elgin, IL-IN-WI","547,626","578,016","585,948","608,723","635,054","651,222",3,"529,860","545,392","543,676","552,758","563,789","568,969",2.9,-0.3,1.7,2,0.9,215,0.03,0.08,0.08,-0.07,(D),0.16,0.12,(D),0.13,0.16,0.04,0.01,-0.17,9461105,9471637,9493862,9516555,9535961,9543893,9532569,9512999,18640180253,6168195319,7197.014,2381.554,41.823521,-87.828297
17020,39.665959,-121.601919,"Chico, CA","6,609","6,517","7,054","7,067","7,501","7,817",234,"6,310","6,088","6,455","6,357","6,637","6,823",-3.5,6,-1.5,4.4,2.8,85,0.18,0.25,0.1,-0.16,0.56,0.01,-0.1,0.16,0.11,0.96,0.09,0.18,0.47,220000,219983,219987,221180,222116,223974,225251,226864,4238422715,105325812,1636.464,40.667,39.665959,-121.601919
17140,39.069458,-84.427153,"Cincinnati, OH-KY-IN","111,666","115,420","120,413","123,378","126,612","132,010",28,"108,412","109,422","112,256","112,835","113,194","116,071",0.9,2.6,0.5,0.3,2.5,106,(D),0.21,-0.15,0.8,0.17,0.1,0.16,(D),(D),0.03,0.01,0.08,-0.03,2114580,2117889,2122659,2128439,2136296,2146784,2155392,2165139,10788684057,192334753,4165.534,74.261,39.069458,-84.427153
17300,36.749207,-87.558283,"Clarksville, TN-KY","10,495","10,551","10,413","10,433","10,698","10,661",192,"10,190","10,047","9,791","9,620","9,634","9,441",-1.4,-2.6,-1.7,0.1,-2,347,-0.11,-0.13,-0.08,-0.1,(D),(D),0.02,-0.94,-0.05,-0.07,0.03,-0.02,-1.06,260625,261718,264443,275272,273191,277759,280988,282349,4398075054,132335357,1698.106,51.095,36.749207,-87.558283
17420,35.138129,-84.65507,"Cleveland, TN","3,472","3,839","3,912","4,116","4,284","4,278",340,"3,388","3,629","3,622","3,740","3,805","3,746",7.1,-0.2,3.3,1.7,-1.6,332,-0.38,-1,-1.83,1.67,-0.27,(D),0.13,(D),-0.27,0.09,0.01,0.22,-0.06,115788,115936,116620,117707,118521,119643,120651,121262,1977283659,26793316,763.434,10.345,35.138129,-84.65507
17460,41.760392,-81.724217,"Cleveland-Elyria, OH","109,886","114,671","118,335","123,867","126,721","129,440",30,"106,486","108,458","109,952","112,804","113,809","114,492",1.9,1.4,2.6,0.9,0.6,238,0.67,-0.03,-0.37,-0.16,0.08,-0.02,0.06,-0.05,0.08,0.23,0.07,0.06,0,2077240,2075769,2068471,2064240,2064501,2063862,2059929,2055612,5174470870,5132075101,1997.874,1981.505,41.760392,-81.724217
17660,47.677113,-116.694918,"Coeur d'Alene, ID","4,438","4,655","4,845","5,039","5,382","5,586",290,"4,306","4,434","4,550","4,610","4,842","4,956",3,2.6,1.3,5,2.3,124,-0.33,0.67,0.85,-0.02,0.83,0.14,0.14,-0.82,0.42,0.61,-0.01,0.09,-0.22,138494,138887,141025,142311,144299,147294,150364,154311,3222281604,185181742,1244.13,71.499,47.677113,-116.694918
17780,30.754392,-96.488537,"College Station-Bryan, TX","7,845","8,260","8,723","9,313","9,621","9,520",209,"7,531","7,782","8,061","8,444","8,782","8,599",3.3,3.6,4.8,4,-2.1,351,-2.14,0.49,-0.26,-0.05,0.1,0.27,0.12,-1.25,0.57,-0.03,-0.05,-0.37,0.51,228660,229480,231386,234025,237722,242530,250040,254928,5439680731,85824949,2100.273,33.137,30.754392,-96.488537
17820,38.845465,-104.638563,"Colorado Springs, CO","27,721","28,397","28,799","28,779","29,766","31,376",83,"27,128","27,323","27,296","26,775","27,150","28,106",0.7,-0.1,-1.9,1.4,3.5,53,-0.1,0.31,-0.06,-0.01,0.46,0.16,-0.51,2.11,0.31,0.5,0.08,0.1,0.17,645613,650397,660230,669014,678235,686022,697619,712327,6951302281,12053395,2683.913,4.654,38.845465,-104.638563
17860,38.989861,-92.310202,"Columbia, MO","7,231","7,596","8,128","8,339","8,661","8,985",217,"7,030","7,218","7,570","7,605","7,710","7,839",2.7,4.9,0.5,1.4,1.7,168,0.03,-0.06,-0.19,-0.02,0.01,0.09,0.12,0.65,0.54,0.18,0.29,0.16,-0.12,162642,163201,166030,168746,171072,172906,174546,176594,1775513856,14289182,685.53,5.517,38.989861,-92.310202
17900,34.084175,-81.040597,"Columbia, SC","32,674","33,370","34,762","36,766","39,001","40,086",70,"31,813","31,808","32,535","33,667","34,865","35,261",0,2.3,3.5,3.6,1.1,198,0.08,0.32,0.01,-0.25,(D),(D),0.15,-0.41,0.12,0.18,0.03,(D),-0.03,767598,769689,776543,783941,791746,799854,809771,817488,9590686398,339384218,3702.985,131.037,34.084175,-81.040597
17980,32.436836,-84.900879,"Columbus, GA-AL","12,553","13,047","13,348","13,493","13,688","13,760",165,"12,170","12,352","12,395","12,225","12,077","11,865",1.5,0.3,-1.4,-1.2,-1.8,340,-0.08,0.11,(D),-0.59,(D),(D),-0.11,(D),0.56,-0.27,-0.13,-0.09,-0.25,294865,296506,302721,311071,316616,314029,311820,308755,5014777653,61081469,1936.217,23.584,32.436836,-84.900879
18020,39.205843,-85.897999,"Columbus, IN","4,511","4,955","5,169","5,420","5,769","5,680",287,"4,545","4,826","4,908","5,023","5,110","4,928",6.2,1.7,2.3,1.7,-3.6,364,0.1,-0.01,-3.48,-0.1,-0.08,-0.03,0.06,-0.5,0.2,0.25,-0.06,0.02,0.05,76794,76845,77626,78927,79491,80182,81011,81402,1053850604,6814131,406.894,2.631,39.205843,-85.897999
18140,39.968562,-82.835911,"Columbus, OH","101,428","109,268","113,236","118,340","125,194","130,758",29,"99,025","104,139","105,826","108,289","111,748","114,492",5.2,1.6,2.3,3.2,2.5,113,0.14,0.13,-0.01,-0.17,(D),(D),(D),1.05,0.37,0.13,0.03,(D),0.02,1901974,1906516,1925857,1946428,1970123,1996809,2020144,2041520,12423532141,138606167,4796.753,53.516,39.968562,-82.835911
18580,27.898931,-97.401236,"Corpus Christi, TX","20,818","22,199","24,254","24,379","23,223","22,403",112,"17,991","18,850","20,725","20,654","20,625","20,268",4.8,9.9,-0.3,-0.1,-1.7,338,-1.85,1.18,-0.34,1.23,-0.39,-0.37,-0.09,-1.27,0.21,0.2,-0.13,-0.23,0.13,428185,427997,431010,436817,443126,448106,452735,454726,4620109987,1599382636,1783.835,617.525,27.898931,-97.401236
18700,44.493882,-123.424664,"Corvallis, OR","5,375","4,787","4,413","4,356","4,362","4,559",334,"5,447","4,817","4,368","4,251","4,187","4,324",-11.6,-9.3,-2.7,-1.5,3.3,64,-0.09,0.39,-0.06,0.01,0.04,0.06,0.12,1.35,0.37,0.7,0.08,0.01,0.31,85579,85566,85999,86441,86066,87112,88271,89385,1750843967,6738492,676.005,2.602,44.493882,-123.424664
18880,30.641097,-86.367692,"Crestview-Fort Walton Beach-Destin, FL","11,017","11,990","11,290","12,281","13,004","13,673",166,"10,759","11,489","10,653","11,349","11,741","12,113",6.8,-7.3,6.5,3.5,3.2,69,1.11,0.36,-0.15,-0.04,0.26,0.18,0.21,-0.47,0.89,0.21,0.14,0.18,0.28,235865,236006,238918,247584,252819,257029,262140,267059,5097057920,916046870,1967.985,353.688,30.641097,-86.367692
19060,39.532185,-78.807082,"Cumberland, MD-WV","2,947","2,996","3,003","3,053","3,126","3,204",370,"2,875","2,858","2,804","2,786","2,779","2,797",-0.6,-1.9,-0.7,-0.2,0.6,235,0.01,-0.18,-0.28,-0.08,0.45,(D),0.3,0.24,(D),0.14,0.15,-0.07,0.09,103299,103245,102638,101869,101331,100645,99944,99541,1947653075,18535226,751.993,7.156,39.532185,-78.807082
19100,32.822558,-97.025133,"Dallas-Fort Worth-Arlington, TX","392,006","417,065","448,179","477,177","493,048","511,606",4,"372,206","391,232","412,265","432,289","457,409","471,278",5.1,5.4,4.9,5.8,3,77,-0.46,0.3,-0.04,0.21,0.49,0.28,0.33,0.76,(D),0.23,0.08,0.07,0.11,6426214,6452677,6571576,6704080,6813055,6945274,7089888,7233323,24035191870,922063119,9280.04,356.011,32.822558,-97.025133
19140,34.796922,-84.85633,"Dalton, GA","5,113","5,281","5,490","5,741","5,915","6,173",266,"4,879","5,004","5,154","5,296","5,322","5,448",2.6,3,2.7,0.5,2.4,122,-0.74,-0.03,0.25,0.47,1.69,0.08,-0.05,-0.41,0.51,0.48,-0.01,0.08,0.04,142227,142318,142508,142585,142261,142853,143452,143904,1644571669,7253399,634.973,2.801,34.796922,-84.85633
19180,40.186754,-87.726778,"Danville, IL","2,804","2,825","2,868","2,866","2,766","2,750",377,"2,655","2,600","2,602","2,568","2,439","2,399",-2.1,0.1,-1.3,-5,-1.7,335,0.1,0.88,-0.93,-0.22,-0.07,-0.71,0.16,-0.51,0.01,0.12,-0.16,0.11,-0.42,81625,81617,81380,80774,80495,79695,78990,78111,2326763526,7534491,898.368,2.909,40.186754,-87.726778
19300,30.659218,-87.746067,"Daphne-Fairhope-Foley, AL","5,433","5,755","6,443","6,727","6,672","6,988",248,"5,329","5,515","6,050","6,185","5,990","6,137",3.5,9.7,2.2,-3.2,2.5,112,0.01,0.57,-0.24,0.03,0.61,0,0,0.58,0.1,0.21,0.31,0.22,0.06,182265,183199,186653,190403,195147,199745,203690,208563,4117584013,1133129224,1589.808,437.504,30.659218,-87.746067
19340,41.39168,-90.460076,"Davenport-Moline-Rock Island, IA-IL","18,744","19,621","19,031","19,066","19,054","18,971",127,"18,223","18,666","17,806","17,473","17,090","16,765",2.4,-4.6,-1.9,-2.2,-1.9,345,0.1,-0.1,-1.02,-0.34,-0.09,0.1,-0.16,-0.26,0.05,0.13,-0.08,-0.03,-0.19,379690,380241,381119,382828,384024,383972,383426,382268,5878613363,114201813,2269.745,44.094,41.39168,-90.460076
19380,39.828854,-84.141813,"Dayton, OH","34,891","36,117","36,999","38,418","39,574","40,572",68,"33,943","34,375","34,554","35,114","35,282","35,535",1.3,0.5,1.6,0.5,0.7,229,0.04,-0.03,0.11,0.03,-0.04,-0.23,0.21,0.02,0.23,0.37,0.03,-0.03,0.02,799232,800307,801312,802216,801308,800746,799800,800683,3320017376,21705383,1281.866,8.38,39.828854,-84.141813
19460,34.489361,-87.097147,"Decatur, AL","5,036","5,271","5,366","5,508","5,203","5,362",300,"4,811","4,922","4,928","4,927","4,593","4,687",2.3,0.1,0,-6.8,2,148,0.12,0.16,0.2,0.79,0.37,0.14,0.02,0.05,-0.04,0.11,-0.03,0.1,0.05,153829,153916,154040,153911,153222,153034,152520,152256,3289381161,119693420,1270.037,46.214,34.489361,-87.097147
19500,39.860237,-88.961529,"Decatur, IL","5,802","5,833","5,822","6,200","6,232","6,129",270,"5,750","5,589","5,454","5,637","5,494","5,289",-2.8,-2.4,3.3,-2.5,-3.7,366,0.26,-0.4,0.13,-3.42,(D),(D),0.05,0.02,-0.04,0.09,-0.09,-0.01,-0.14,110768,110779,110624,110083,109533,108479,107377,106550,1503973502,13409564,580.687,5.177,39.860237,-88.961529
19660,29.1789,-81.189023,"Deltona-Daytona Beach-Ormond Beach, FL","13,426","14,209","15,146","15,431","16,095","17,111",142,"13,108","13,572","14,198","14,186","14,446","15,059",3.5,4.6,-0.1,1.8,4.2,30,0.06,0.34,0.24,0.11,1.17,0.16,0.14,0.19,1.03,0.36,0.17,0.04,0.22,590289,590727,591935,595884,601295,610384,623378,637674,4109094861,1079325613,1586.53,416.73,29.1789,-81.189023
19740,39.434749,-104.901209,"Denver-Aurora-Lakewood, CO","159,961","167,491","173,037","186,338","190,963","197,969",18,"153,031","157,916","159,987","169,519","176,148","180,446",3.2,1.3,6,3.9,2.4,116,-0.43,0.4,0.04,-0.02,(D),0.1,(D),(D),0.29,0.29,(D),0.06,0.15,2543482,2554864,2600899,2647830,2698125,2752433,2808816,2853077,21615642000,147293259,8345.846,56.87,39.434749,-104.901209
19780,41.54486,-93.943487,"Des Moines-West Des Moines, IA","37,999","41,511","42,304","45,384","48,243","50,246",59,"36,972","39,381","39,353","41,389","42,979","43,873",6.5,-0.1,5.2,3.8,2.1,147,0.06,0.38,-0.1,-0.07,0.31,-0.01,0.11,0.63,0.45,0.11,0.15,0,0.08,569633,571994,580851,589499,600073,611900,622580,634725,7468132027,73435205,2883.462,28.353,41.54486,-93.943487
19820,42.721848,-83.200846,"Detroit-Warren-Dearborn, MI","206,172","215,614","220,277","229,327","243,114","252,691",13,"203,896","208,204","209,372","213,402","219,200","223,835",2.1,0.6,1.9,2.7,2.1,142,(D),0.09,-0.04,0.15,0.4,(D),0.15,0.65,0.5,0.17,0.04,0.07,0,4296250,4291373,4287293,4293573,4295413,4299512,4297538,4297617,10072892006,897203024,3889.166,346.412,42.721848,-83.200846
20020,31.245496,-85.469171,"Dothan, AL","4,589","4,738","4,819","4,909","5,009","5,090",316,"4,467","4,522","4,504","4,485","4,496","4,530",1.2,-0.4,-0.4,0.3,0.7,226,0.28,-0.38,-0.35,0.41,0.24,0.87,(D),-0.87,0.11,0.24,0.01,(D),0.08,145639,145894,146728,147631,147556,148021,148171,147834,4444378744,33487986,1715.984,12.93,31.245496,-85.469171
20100,39.097088,-75.502982,"Dover, DE","6,092","6,112","6,314","6,652","7,098","7,216",243,"5,865","5,755","5,829","6,018","6,303","6,309",-1.9,1.3,3.2,4.7,0.1,264,-0.3,-0.06,(D),(D),(D),(D),-0.05,-0.38,0.79,0.28,0.12,0.11,0.39,162310,162990,165258,167605,169457,171949,173533,174827,1518565081,549102079,586.321,212.01,39.097088,-75.502982
20220,42.463481,-90.878771,"Dubuque, IA","4,525","5,232","4,979","5,259","5,462","5,482",294,"4,451","5,012","4,660","4,821","4,888","4,827",12.6,-7,3.4,1.4,-1.2,319,0.01,-0.03,-1.31,-0.11,0.3,0.17,-0.24,0.32,-0.57,0.06,0.04,0.04,0.08,93653,93926,94564,95211,95964,96582,97034,97003,1575488097,21138791,608.299,8.162,42.463481,-90.878771
20260,47.329701,-92.376259,"Duluth, MN-WI","12,236","12,114","12,465","12,913","12,541","12,621",178,"11,543","11,270","11,561","11,795","11,218","11,117",-2.4,2.6,2,-4.9,-0.9,306,-2.41,-0.56,0.27,0.02,-0.16,-0.01,0.02,1.85,-0.3,0.04,0.08,0.02,0.24,279771,279743,279775,279468,279708,279917,279381,279227,21789775318,2075554135,8413.08,801.376,47.329701,-92.376259
20500,35.995536,-79.09699,"Durham-Chapel Hill, NC","37,677","37,875","41,803","43,280","44,340","43,908",63,"36,723","35,905","38,852","39,329","39,452","38,376",-2.2,8.2,1.2,0.3,-2.7,358,0.03,0.15,0,-3.48,-0.25,0.13,0.15,-0.36,0.21,0.54,0.07,0.03,0.07,504357,508147,515990,525158,533470,542595,551237,559535,4553919062,142312593,1758.278,54.947,35.995536,-79.09699
20700,41.05624,-75.329065,"East Stroudsburg, PA","5,506","5,463","5,581","5,560","5,839","5,995",276,"5,314","5,131","5,139","4,994","5,122","5,146",-3.4,0.1,-2.8,2.6,0.5,243,0.21,0.17,-0.12,-0.44,0.28,0.18,-0.09,-0.32,0.1,0.22,0.49,0.04,-0.25,169842,169910,169868,168567,167271,167197,166499,166098,1575560089,23131029,608.327,8.931,41.05624,-75.329065
20740,44.938029,-91.285538,"Eau Claire, WI","6,655","7,147","7,194","7,578","8,093","8,237",227,"6,499","6,822","6,745","6,993","7,306","7,325",5,-1.1,3.7,4.5,0.2,256,-0.49,-0.17,0.03,-0.53,0.16,-0.08,-0.03,0.55,0.48,-0.04,0.15,0.07,0.16,161151,161662,162842,163924,164964,165151,165654,166614,4263832586,104078617,1646.275,40.185,44.938029,-91.285538
20940,33.040814,-115.3554,"El Centro, CA","5,826","5,613","5,772","5,682","5,681","5,720",285,"5,247","4,946","4,986","4,887","4,917","5,002",-5.7,0.8,-2,0.6,1.7,164,1.01,-1.17,-0.05,0.05,-0.05,0.17,-0.04,0.24,0.21,0.27,0.14,0.13,0.8,174528,174751,176227,177287,177194,178866,179806,180883,10817378445,790204917,4176.613,305.1,33.040814,-115.3554
21060,37.73298,-85.972171,"Elizabethtown-Fort Knox, KY","6,102","6,003","5,951","6,010","5,828","6,211",263,"5,962","5,751","5,608","5,539","5,232","5,475",-3.5,-2.5,-1.2,-5.6,4.6,21,0.05,-0.13,0.47,-0.05,0.43,(D),0.1,4.61,-0.02,-0.09,-0.06,(D),-0.95,148338,149945,151386,150567,151648,151970,148532,149538,3082732343,72564897,1190.25,28.017,37.73298,-85.972171
21140,41.600693,-85.863986,"Elkhart-Goshen, IN","9,652","10,916","11,784","12,989","14,387","15,515",154,"9,829","10,764","11,423","12,288","12,992","13,830",9.5,6.1,7.6,5.7,6.5,6,0.36,-0.22,4.36,0.44,0.48,0.07,-0.06,-0.28,0.54,0.39,0.12,0.21,0.03,197559,197473,198495,199172,200354,201609,203284,203781,1199614703,12423390,463.174,4.797,41.600693,-85.863986
21300,42.15528,-76.747179,"Elmira, NY","3,284","3,352","3,357","3,388","3,393","3,320",366,"3,213","3,206","3,141","3,096","3,025","2,910",-0.2,-2,-1.4,-2.3,-3.8,367,-0.24,0.51,-0.79,-0.46,-0.19,-0.04,-1.03,-0.59,-0.91,0.1,0.04,-0.23,-0.02,88830,88972,88988,89264,88498,87506,87120,86322,1055038636,8874334,407.353,3.426,42.15528,-76.747179
21340,31.527394,-105.521333,"El Paso, TX","25,330","26,479","26,582","26,645","27,714","28,644",90,"24,318","24,892","24,746","24,330","24,841","25,380",2.4,-0.6,-1.7,2.1,2.2,137,(D),0.3,0.26,0,0.22,0.37,-0.11,0.36,0.2,0.19,0.04,0.16,0.22,804123,807108,822888,834204,834549,837433,837208,841971,14461646726,7634538,5583.673,2.948,31.527394,-105.521333
21500,42.117952,-80.096386,"Erie, PA","10,507","10,467","10,862","10,883","11,138","11,151",189,"10,248","9,974","10,160","9,974","9,976","9,825",-2.7,1.9,-1.8,0,-1.5,326,0.03,-0.14,-2.4,-0.16,0.1,0.02,0.05,1.07,-0.01,0.19,-0.07,-0.08,-0.12,280566,280771,281197,281541,280613,279251,278052,276207,2069952474,1965847842,799.213,759.018,42.117952,-80.096386
21660,43.928329,-122.89769,"Eugene, OR","12,635","12,919","13,289","13,626","14,669","15,393",156,"12,391","12,387","12,459","12,489","13,134","13,501",0,0.6,0.2,5.2,2.8,86,-0.06,0.31,0.14,-0.11,0.3,0.01,-0.02,0.52,0.97,0.37,0.07,0.11,0.19,351715,351976,353641,354993,355812,358442,362600,369519,11792794737,436681302,4553.224,168.604,43.928329,-122.89769
21780,38.02007,-87.586166,"Evansville, IN-KY","17,512","17,220","17,081","17,066","17,110","16,933",143,"16,422","15,706","15,445","15,088","15,007","14,769",-4.4,-1.7,-2.3,-0.5,-1.6,334,-0.26,-0.71,0.45,-1.95,0.02,0.17,-0.01,0.25,0.07,0.47,-0.03,-0.06,0.01,311552,311815,312666,313561,314590,315227,315713,315948,3793444395,125176173,1464.657,48.331,38.02007,-87.586166
21820,64.692317,-146.601733,"Fairbanks, AK","5,368","5,500","5,178","5,344","5,405","5,400",297,"5,027","5,062","4,729","4,790","4,757","4,684",0.7,-6.6,1.3,-0.7,-1.5,327,-0.33,-1.18,-0.05,0.18,(D),0.12,0.06,0.03,0.07,0.37,-0.08,-0.03,-0.52,97581,98293,98100,100330,100879,99295,99639,100605,19019023800,275189755,7343.286,106.251,64.692317,-146.601733
22020,46.914859,-96.960183,"Fargo, ND-MN","11,440","12,730","13,282","14,266","14,858","15,497",155,"11,119","12,061","12,342","13,010","13,227","13,534",8.5,2.3,5.4,1.7,2.3,127,0.01,0.17,-0.22,-0.08,0.13,0.17,0.39,1.67,-0.27,0.21,-0.02,0.04,0.11,208777,209416,212875,217250,223834,228422,233642,238124,7278667047,26517816,2810.309,10.239,46.914859,-96.960183
22140,36.511624,-108.324578,"Farmington, NM","7,438","7,247","7,077","7,340","6,330","5,664",288,"6,415","6,417","6,117","6,329","6,385","5,835",0,-4.7,3.5,0.9,-8.6,377,-5.37,-1.14,-0.32,0,-0.81,-0.25,0.05,-0.74,-0.32,0.39,-0.07,-0.14,0.1,130044,130135,127991,128331,126518,124055,118701,115079,14279077920,65425890,5513.183,25.261,36.511624,-108.324578
22180,35.037956,-78.982209,"Fayetteville, NC","17,363","17,268","17,094","16,794","16,980","17,320",140,"16,832","16,400","16,019","15,424","15,253","15,285",-2.6,-2.3,-3.7,-1.1,0.2,258,0.02,-0.07,0.1,0.13,0.21,0.05,-0.06,-0.01,0.12,0.19,-0.02,0.02,-0.47,366383,367528,373288,373867,377785,378009,378422,380389,2701923062,19282163,1043.218,7.445,35.037956,-78.982209
22220,36.197633,-94.119897,"Fayetteville-Springdale-Rogers, AR-MO","19,906","20,732","22,397","23,759","25,316","26,764",97,"19,593","19,929","21,167","22,153","23,051","23,956",1.7,6.2,4.7,4.1,3.9,38,(D),(D),-0.16,-0.22,1.23,0.13,(D),1.18,1.08,0.28,0.08,(D),-0.02,463204,465345,475177,484290,493045,502392,513449,525032,8192540477,129289519,3163.158,49.919,36.197633,-94.119897
22380,35.829692,-111.773728,"Flagstaff, AZ","5,052","5,012","5,201","5,307","5,573","5,797",282,"4,933","4,787","4,868","4,860","4,964","5,059",-3,1.7,-0.2,2.1,1.9,157,-0.15,0.21,-0.19,-0.15,-0.33,-0.15,0.05,2.34,-0.22,0,0.22,0.05,0.22,134421,134624,134186,135999,136641,137695,139076,140908,48222080889,110096951,18618.65,42.509,35.829692,-111.773728
22420,43.021077,-83.706372,"Flint, MI","11,891","12,100","12,369","12,571","13,296","13,838",164,"11,774","11,695","11,752","11,687","12,002","12,279",-0.7,0.5,-0.5,2.7,2.3,129,0,0.31,-0.1,0.01,-0.55,0.24,0.33,1.71,-0.09,0.29,0.04,0.08,0.03,425790,425056,421773,418029,415553,412813,410442,408615,1649729501,32693085,636.964,12.623,43.021077,-83.706372
22500,34.153775,-79.806079,"Florence, SC","6,994","7,241","7,709","7,898","8,119","8,169",229,"6,793","6,909","7,203","7,217","7,254","7,221",1.7,4.3,0.2,0.5,-0.5,288,0,0.89,-0.26,-1.42,0.23,0.13,0.12,0.18,0.21,0.11,0.04,-0.73,0.04,205566,205680,205736,206153,206146,206702,206341,205976,3525257657,24399017,1361.11,9.421,34.153775,-79.806079
